회사명,거래소코드,회계년도,유동자산구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS연결),유동자산 대 비유동자산비율(IFRS연결),당좌자산구성비율(IFRS연결),비유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),타인자본구성비율(IFRS연결),비유동비율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),매입채무 대 재고자산비율(IFRS연결),부채비율(IFRS연결),유동부채비율(IFRS연결),단기차입금 대 총차입금비율(IFRS연결),순운전자본비율(IFRS연결),차입금비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결)
(주)국순당,043650,2019/12,31.22,20.32,45.4,24.88,68.78,81.18,18.82,84.72,232.87,185.56,107.45,18.75,23.19,16.52,85.23,17.82,11.06,-10.46,-21.93,-1.97,-4.87
(주)국순당,043650,2020/12,29.93,16.49,42.7,24.99,70.07,90.86,9.14,77.12,642.45,536.54,348.67,10.87,10.06,5.13,48.58,25.27,0.77,24.19,315.65,2.21,10.22
(주)국순당,043650,2021/12,30.02,18.25,42.9,24.54,69.98,90.89,9.11,76.99,618.68,505.77,288.25,19.21,10.03,5.34,69.56,25.17,0.5,42.92,856.35,3.91,16.02
(주)국순당,043650,2022/12,40.19,16.75,67.2,33.46,59.81,92.32,7.68,64.78,800.88,666.75,352.67,14.37,8.32,5.44,54.94,35.17,0.44,24.53,466.48,1.88,6.41
(주)국영지앤엠,006050,2011/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2012/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2013/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2014/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2015/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2016/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2017/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2018/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2019/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2020/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2021/12,,,,,,,,,,,,,,,,,,,,,
(주)국영지앤엠,006050,2022/12,,,,,,,,,,,,,,,,,,,,,
(주)국전약품,307750,2018/12,,,,,,,,,,,,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,,,,,,,,,,,,
(주)국전약품,307750,2020/12,,,,,,,,,,,,,,,,,,,,,
(주)국전약품,307750,2021/12,,,,,,,,,,,,,,,,,,,,,
(주)국전약품,307750,2022/12,72.87,14.14,268.58,62.56,27.13,47.08,52.92,57.63,202.14,173.55,30.48,46.88,112.4,76.57,57.37,36.82,64.27,-5.8,-10.14,-3.07,-5.8
(주)그래디언트,035080,2011/12,35.79,14.57,55.74,30.58,64.21,42.29,57.71,151.83,81.65,69.75,16.02,51.18,136.46,103.66,53.16,-8.05,64.27,2.32,4.92,1.34,2.43
(주)그래디언트,035080,2012/12,32.5,14.45,48.15,27.8,67.5,53.6,46.4,125.93,89.27,76.37,15.91,63.88,86.55,67.92,49.31,-3.91,32.03,-0.87,-2.35,-0.4,-0.66
(주)그래디언트,035080,2013/12,61.25,6.98,158.07,56.98,38.75,47.04,52.96,82.38,135.82,126.34,14.11,641.22,112.58,95.87,55.15,16.15,15.47,2.51,18.26,1.33,0.72
(주)그래디언트,035080,2014/12,59.51,7.02,147,55.33,40.49,46.88,53.12,86.35,130.06,120.93,22.39,747.78,113.29,97.6,36.32,13.76,6.75,15.26,256.23,8.11,4.97
(주)그래디언트,035080,2015/12,63.5,10.34,174,56.94,36.5,42.9,57.1,85.07,125.25,112.29,11.41,540.63,133.09,118.18,51.7,12.8,7.94,8.92,149.48,5.09,3.03
(주)그래디언트,035080,2016/12,68.27,8.33,215.16,62.58,31.73,40.53,59.47,78.29,123.45,113.17,12.17,696.4,146.75,136.46,93.78,12.97,7.46,3.97,78.03,2.36,1.27
(주)그래디언트,035080,2017/12,68.15,11.22,214.02,60.51,31.85,41.14,58.86,77.41,125.96,111.83,13.71,433.83,143.09,131.53,95.8,14.05,8.47,14.15,239.01,8.33,4.24
(주)그래디언트,035080,2018/12,69.74,13.23,230.42,60.51,30.26,39.48,60.52,76.66,124.21,107.78,16.54,345.64,153.28,142.2,99.26,13.59,9.95,12.56,193.55,7.6,4
(주)그래디언트,035080,2019/12,67.8,7.09,210.52,62.99,32.2,37.62,62.38,85.61,123.13,114.41,14.6,664.94,165.84,146.37,60.11,12.74,19.99,10.18,84.45,6.35,3.31
(주)그래디언트,035080,2020/12,63.31,8.83,172.58,57.72,36.69,38.04,61.96,96.44,117.17,106.82,11.98,663.51,162.86,142.04,55.23,9.28,18.73,3.39,29.5,2.1,1.06
(주)그래디언트,035080,2021/12,73.2,5.92,273.1,68.86,26.8,35.61,64.39,75.26,125.13,117.72,7.35,813.88,180.81,164.27,56.63,14.7,9.77,-0.48,-8.92,-0.31,-0.16
(주)그래디언트,035080,2022/12,64.66,6.26,182.99,60.62,35.34,49.86,50.14,70.87,149.83,140.46,25.39,948.77,100.56,86.56,63.22,21.51,8.56,4.43,52.03,2.22,1.1
(주)그리티,204020,2011/12,,,,,,,,,,,,,,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,,,,,,,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,,,,,,,,,,,,,,
(주)그리티,204020,2014/12,89.95,38.99,894.58,54.88,10.05,79.42,20.58,12.66,437.03,266.65,9.95,14.88,25.91,25.91,0,69.36,8.3,23.84,74.49,4.91,2.53
(주)그리티,204020,2015/12,89.67,40.93,868.43,52.97,10.33,81.65,18.35,12.65,488.68,288.66,13.26,13.88,22.47,22.47,0,71.32,6,54.5,204.01,10,5.44
(주)그리티,204020,2016/12,87.88,44.32,725.24,48.93,12.12,76.29,23.71,15.88,370.72,206.41,5.46,20.78,31.07,31.07,0,64.18,9.2,22.63,76.39,5.36,3.29
(주)그리티,204020,2017/12,88.43,57.13,763.95,37.91,11.57,76.53,23.47,15.12,376.79,161.53,4.1,11.04,30.66,30.66,0,64.96,11.24,-13.59,-37.08,-3.19,-1.86
(주)그리티,204020,2018/12,93.06,45.38,1341.57,50.83,6.94,77.76,22.24,8.92,500.58,273.4,1.46,14.23,28.6,23.91,64.48,74.47,13.21,-0.22,-0.48,-0.05,-0.04
(주)그리티,204020,2019/12,89.64,51.09,865.16,43.84,10.36,80.5,19.5,12.87,477.62,233.61,6.18,13.58,24.23,23.31,90.99,70.87,10.11,10.42,24.96,2.03,1.52
(주)그리티,204020,2020/12,84.14,56.56,530.43,36.55,15.86,82.44,17.56,19.24,619.88,269.28,9.82,13.8,21.31,16.47,45.28,70.56,8.85,5.12,12.33,0.9,0.64
(주)그리티,204020,2021/12,73.64,64.86,279.33,25.88,26.36,76.94,23.06,34.26,415.92,146.15,7.26,10.4,29.97,23.01,57.36,55.93,16.32,8.45,15.52,1.95,1.55
(주)그리티,204020,2022/12,79.33,72.03,383.87,22.19,20.67,77.23,22.77,26.76,412.77,115.44,15.81,9.11,29.49,24.89,65.86,60.11,13.48,2.26,4.95,0.52,0.32
(주)그린플러스,186230,2011/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2017/12,,,,,,,,,,,,,,,,,,,,,
(주)그린플러스,186230,2018/12,44.1,22.4,78.91,34.23,55.9,37.66,62.34,148.42,156.21,121.22,5.52,34.36,165.54,74.97,39.86,15.87,135.75,-8.14,-9.93,-5.08,-6.98
(주)그린플러스,186230,2019/12,53.21,15.64,113.71,44.88,46.79,51.7,48.3,90.51,220.53,186.04,27.72,21.13,93.42,46.66,49.04,29.08,79.71,-7.62,-8.93,-3.68,-5.45
(주)그린플러스,186230,2020/12,55.89,12.05,126.71,49.15,44.11,38.19,61.81,115.49,145.71,128.15,31.07,72.68,161.83,100.43,51.25,17.53,111.48,0.51,0.74,0.31,0.45
(주)그린플러스,186230,2021/12,61.11,16.03,157.15,51.32,38.89,59.82,40.18,65.01,261.18,219.33,93.97,33.24,67.18,39.12,53.55,37.71,52.39,2.08,2.67,0.84,1.02
(주)그린플러스,186230,2022/12,45.72,20.49,84.24,36.36,54.28,57.3,42.7,94.73,155.66,123.77,45.28,22.99,74.53,51.26,68.33,16.35,61.45,8.47,10.28,3.62,4.62
(주)극동자동화,272420,2014/12,,,,,,,,,,,,,,,,,,,,,
(주)극동자동화,272420,2015/12,,,,,,,,,,,,,,,,,,,,,
(주)극동자동화,272420,2016/12,,,,,,,,,,,,,,,,,,,,,
(주)극동자동화,272420,2017/12,,,,,,,,,,,,,,,,,,,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,64.51,42.94,181.74,36.81,35.49,52.49,47.51,67.62,152.89,87.24,17.42,29.8,90.53,80.39,93.67,22.31,23.84,5.02,19.05,2.38,3.02
(주)글로벌스탠다드테크놀로지,083450,2012/12,58.74,54.89,142.35,26.5,41.26,66.9,33.1,61.68,197.65,89.16,54.87,30.41,49.48,44.42,91.21,29.02,8.38,23.84,140.7,7.89,6.55
(주)글로벌스탠다드테크놀로지,083450,2013/12,60.1,45.29,150.6,32.88,39.9,68.07,31.93,58.62,221.07,120.96,54.63,26.93,46.91,39.94,63.17,32.91,10.08,13.91,64.71,4.44,3.43
(주)글로벌스탠다드테크놀로지,083450,2014/12,61.4,30.85,159.1,42.46,38.6,72.67,27.33,53.11,268.19,185.45,113.29,23.41,37.62,31.51,67.57,38.51,7.28,35.69,184.5,9.76,7.66
(주)글로벌스탠다드테크놀로지,083450,2015/12,50.78,27.4,103.18,36.87,49.22,81.32,18.68,60.52,338.59,245.8,148.61,25.84,22.97,18.44,67.57,35.78,6.53,72.37,254.6,13.52,11.16
(주)글로벌스탠다드테크놀로지,083450,2016/12,60.2,42.82,151.28,34.43,39.8,67.98,32.02,58.54,211.09,120.71,50.05,56.87,47.1,41.95,77.78,31.68,7.4,12.07,76.75,3.86,3.8
(주)글로벌스탠다드테크놀로지,083450,2017/12,56.56,39.46,130.2,34.24,43.44,76.44,23.56,56.83,266.78,161.51,87.97,31.49,30.82,27.73,75,35.36,5.11,37.61,226.86,8.86,5.57
(주)글로벌스탠다드테크놀로지,083450,2018/12,52.04,33.88,108.49,34.41,47.96,81.7,18.3,58.71,320.14,211.68,69.04,30.66,22.4,19.89,0,35.78,6.15,52.9,192.54,9.68,7.83
(주)글로벌스탠다드테크놀로지,083450,2019/12,65.07,24.55,186.25,49.09,34.93,75.55,24.45,46.24,286.47,216.14,82.31,43.4,32.37,30.07,73.74,42.35,6.01,32.38,174.37,7.92,6.44
(주)글로벌스탠다드테크놀로지,083450,2020/12,64.74,28.47,183.62,46.31,35.26,80.19,19.81,43.97,367.25,262.68,143.94,34.16,24.7,21.98,67.28,47.11,4.67,69.22,366.19,13.71,11.65
(주)글로벌스탠다드테크놀로지,083450,2021/12,68.96,25.17,222.11,51.6,31.04,73.39,26.61,42.3,282.4,211.31,84.27,37.82,36.26,33.27,52.19,44.54,4.76,41.13,313.4,10.94,7.41
(주)글로벌스탠다드테크놀로지,083450,2022/12,71.02,29.18,245.12,50.3,28.98,79.95,20.05,36.24,413.59,292.92,98.24,22.64,25.07,21.48,52.69,53.85,3.32,56.49,426.2,11.32,9.12
(주)금빛,045890,2011/12,50.06,40.58,100.24,29.75,49.94,40.2,59.8,124.22,104.65,62.18,10.5,46.93,148.74,118.99,79.72,2.22,111.24,-1.78,-2.38,-1.06,-2.07
(주)금빛,045890,2012/12,42.28,45,73.24,23.25,57.72,41.82,58.18,138.02,83.68,46.03,10.22,43.65,139.1,120.79,82.42,-8.24,96.35,15.32,22.11,8.91,12.18
(주)금빛,045890,2013/12,41.4,36.91,70.64,26.11,58.6,41.77,58.23,140.3,73.49,46.36,11.65,51.23,139.4,134.86,98.68,-14.93,109.68,5.72,7.27,3.33,3.91
(주)금빛,045890,2014/12,42.09,44.13,72.68,23.52,57.91,41.42,58.58,139.82,74.14,41.42,1.79,68.31,141.45,137.08,0,-14.68,97.03,-0.6,-0.88,-0.35,-0.47
(주)금빛,045890,2015/12,43.43,42.24,76.78,25.09,56.57,43.83,56.17,129.07,87.38,50.47,1.67,46.84,128.17,113.42,90.74,-6.28,94.57,2.06,2.79,1.16,1.51
(주)금빛,045890,2016/12,40.55,39.06,68.21,24.71,59.45,47.8,52.2,124.37,100.63,61.32,6.06,39.04,109.21,84.31,77.26,0.25,83.1,5.88,7.73,3.07,4.49
(주)금빛,045890,2017/12,48.92,38.24,95.79,30.21,51.08,40.91,59.09,124.84,135.38,83.6,9.98,60.87,144.41,88.33,50.88,12.78,99.84,2.89,4.18,1.71,2.57
(주)금빛,045890,2018/12,43.43,35.62,76.76,27.96,56.57,48.56,51.44,116.5,112.13,72.19,10.5,46.99,105.94,79.76,74.35,4.7,78.25,-4.31,-5.84,-2.22,-4.28
(주)금빛,045890,2019/12,36.3,32.66,57,24.45,63.7,30.17,69.83,211.13,55.42,37.32,6.13,41.37,231.46,217.13,97.46,-29.2,136.35,-10.99,-18.66,-7.68,-13.46
(주)금빛,045890,2020/12,36.31,13.32,57.01,31.47,63.69,40.99,59.01,155.38,68.34,59.24,4.68,141.17,143.95,129.6,89.05,-16.82,102.79,-14.57,-20.41,-8.6,-25.81
(주)금오하이텍,165270,2011/12,,,,,,,,,,,,,,,,,,,,,
(주)금오하이텍,165270,2012/12,,,,,,,,,,,,,,,,,,,,,
(주)금오하이텍,165270,2013/12,,,,,,,,,,,,,,,,,,,,,
(주)금오하이텍,165270,2014/12,,,,,,,,,,,,,,,,,,,,,
(주)금오하이텍,165270,2015/12,,,,,,,,,,,,,,,,,,,,,
(주)금오하이텍,165270,2016/12,,,,,,,,,,,,,,,,,,,,,
(주)금화피에스시,036190,2011/12,,,,,,,,,,,,,,,,,,,,,
(주)금화피에스시,036190,2012/12,,,,,,,,,,,,,,,,,,,,,
(주)금화피에스시,036190,2013/12,62.69,0.24,168.04,62.54,37.31,82.29,17.71,45.34,412.81,411.84,12.41,612.8,21.52,18.46,0,47.51,0,38.11,0,6.75,5.81
(주)금화피에스시,036190,2014/12,58.46,0.7,140.74,58.05,41.54,84.48,15.52,49.17,447.38,444.23,40.6,583.58,18.37,15.47,0,45.39,0,38.04,0,5.9,4.92
(주)금화피에스시,036190,2015/12,64.17,0.47,179.08,63.86,35.83,78.86,21.14,45.44,352.06,350.4,49.33,1205.26,26.8,23.11,1.57,45.94,1.54,42.17,732.4,8.91,7.14
(주)금화피에스시,036190,2016/12,67.3,0.58,205.85,66.92,32.7,78.46,21.54,41.67,356.19,354.14,51.69,454.23,27.46,24.08,10.22,48.41,1.74,61.43,969.69,13.24,12.11
(주)금화피에스시,036190,2017/12,68.24,0.66,214.91,67.8,31.76,79.53,20.47,39.93,381.74,379.24,56.22,255.39,25.74,22.48,0,50.37,1.59,83.07,1341.98,17,19.14
(주)금화피에스시,036190,2018/12,67.81,0.64,210.67,67.38,32.19,84.08,15.92,38.28,489.72,486.58,66.66,245.94,18.93,16.47,55.57,53.96,2.45,82.35,637.41,13.11,14.75
(주)금화피에스시,036190,2019/12,65.32,0.66,188.37,64.89,34.68,84.99,15.01,40.8,474.92,471.78,82.88,229.12,17.66,16.18,94.36,51.57,2.04,53.54,464.33,8.04,10.81
(주)금화피에스시,036190,2020/12,57.5,0.76,135.3,57.06,42.5,87.58,12.42,48.53,567.89,563.55,141.86,266.04,14.19,11.56,41.6,47.38,1.47,52.27,505.69,6.49,8.11
(주)금화피에스시,036190,2021/12,53.72,0.97,116.08,53.2,46.28,89.16,10.84,51.91,674.41,667.85,124.76,117.04,12.16,8.93,9.95,45.76,1.53,51.13,407.51,5.54,7.15
(주)금화피에스시,036190,2022/12,52.92,0.75,112.39,52.52,47.08,74.41,25.59,63.27,338.05,335.51,80.58,516.1,34.38,21.04,8.34,37.26,13.23,12.7,33.01,3.25,5.23
(주)기가레인,049080,2013/12,42.99,20.32,75.4,34.25,57.01,50.92,49.08,111.97,138.09,110.02,56.92,63.69,96.4,61.14,52.63,11.86,70.66,16.5,22.5,8.1,10.47
(주)기가레인,049080,2014/12,32.53,26.72,48.22,23.84,67.47,57.28,42.72,117.78,129.12,94.62,31.92,20.32,74.57,43.98,45.62,7.34,52.91,21.07,29.69,9,12.4
